c,id,la,lo,m,n,r
97,41,57.166775,-2.0790610000000003,Aberdeen,aberdeen,7
97,423,52.414546,-4.080401,Aberystwyth,aberystwyth,12
97,291,51.667957,-1.2774290000000001,Abingdon,abingdon,17
97,10,54.564972,-1.2317879999999999,Albert,albert,9
97,1267,51.647953,-0.31650700000000004,Aldenham,aldenham,11
97,407,51.168607,-0.83814,Alice Holt,aliceholt,17
97,300,51.595936,-0.12233,Ally Pally,allypally,10
97,660,57.694306000000005,-4.2566690000000005,Alness,alness,7
97,64,51.221092,-1.512766,Andover,andover,17
97,585,54.717078,-6.238818,Antrim,antrim,15
97,658,54.339812,-6.652951,Armagh,armagh,15
97,164,52.307848,-1.9103330000000003,Arrow Valley,arrowvalley,14
97,103,51.14347,0.864218,Ashford,ashford,17
97,50,51.443591999999995,-2.639948,Ashton Court,ashton-court,16
97,158,57.205275,-3.818635,Aviemore,aviemore,7
97,450,51.83162,-0.8383940000000001,Aylesbury,aylesbury,17
97,341,55.436189,-4.624316,Ayr,ayr,7
97,38,52.068807,-1.3323180000000001,Banbury,banbury,17
97,780,54.660024,-5.661693,Bangor,bangor,15
97,3,51.307648,-0.184225,Banstead Woods,banstead,17
97,1245,51.759056,-0.019441999999999997,Barclay,barclay,11
97,406,51.545894,0.087312,Barking,barking,10
97,240,53.544368999999996,-1.4861149999999999,Barnsley,barnsley,18
97,288,51.072561,-4.053612,Barnstaple,barnstaple,16
97,304,54.117706000000005,-3.218855,Barrow,barrow,8
97,1200,51.390202,-3.271371,Barry Island,barryisland,12
97,46,51.578031,0.498392,Basildon,basildon,11
97,11,51.258831,-1.082035,Basingstoke,basingstoke,17
97,121,51.364717,-2.338425,Bath Skyline,bathskyline,16
97,99,51.417952,-0.0060420000000000005,Beckenham Place,beckenhamplace,10
97,378,51.511759999999995,0.046542,Beckton,beckton,10
97,15,51.440762,-0.45152299999999995,Bedfont Lakes,bedfont,10
97,108,52.148125,-0.459366,Bedford,bedford,11
97,1422,51.071871,0.450168,Bedgebury Pinetum,bedgeburypinetum,17
97,779,52.913592,-1.201737,Beeston,beeston,13
97,295,54.608785,-5.881573,Belfast Victoria,belfastvictoria,15
97,1339,52.94274300000001,-0.620021,Belton House,beltonhouse,13
97,112,53.02213199999999,-1.171188,Bestwood Village,bestwoodvillage,13
97,1378,50.844709,-0.107027,Bevendean Down,bevendeandown,17
97,29,51.455132,0.113254,Bexley,bexley,10
97,1452,51.891101,-1.146866,Bicester,bicester,17
97,1432,51.024075,-4.204316,Bideford,bideford,16
97,279,51.632965999999996,0.417446,Billericay,billericay,11
97,1275,53.39480699999999,-3.051658,Birkenhead,birkenhead,8
97,1770,54.199363,-3.3223339999999997,Black Combe,blackcombe,8
97,22,51.540329,-0.5476,Black Park,black-park,17
97,384,54.858315000000005,-1.842366,Blackhill,blackhill,9
97,1627,53.811727000000005,-3.023114,Blackpool,blackpool,8
97,947,50.863122,-2.16627,Blandford,blandford,16
97,696,52.813653,1.221671,Blickling,blickling,11
97,874,50.786913,-0.668305,Bognor Regis,bognorregis,17
97,273,53.574715000000005,-2.3956150000000003,Bolton,bolton,8
97,148,52.990156000000006,-0.038556,Boston,boston,13
97,172,50.73362,-1.832732,Bournemouth,bournemouth,16
97,210,51.390248,-0.776844,Bracknell,bracknell,17
97,131,53.814575,-1.775102,Bradford,bradford,18
97,6,53.37426800000001,-2.160702,Bramhall Park,bramhall,8
97,1254,53.81343199999999,-1.633461,Bramley,bramley,18
97,464,52.436339000000004,0.625877,Brandon Country Park,brandoncountrypark,11
97,104,52.626129000000006,-1.1786809999999999,Braunstone,braunstone,13
97,654,51.622582,0.266879,Brentwood,brentwood,11
97,213,53.13115500000001,-1.2952139999999999,Brierley Forest,brierleyforest,13
97,152,53.706086,-1.778156,Brighouse,brighouse,18
97,8,50.84214,-0.172498,Brighton & Hove,brighton,17
97,443,50.821804,-1.568052,Brockenhurst,brockenhurst,17
97,76,51.452538,-0.10546400000000002,Brockwell,brockwell,10
97,27,51.386539,0.022874000000000002,Bromley,bromley,10
97,176,52.406754,-1.764593,Brueton,brueton,14
